n_layers,size,alpha,activation_f,MEE_mean,MEE_std,seconds
1,1000,0.01,LeakyRelu,3.1994030286017168,0.07938726945723086,5.1249266199999965
1,1000,0.05,LeakyRelu,3.1328943413911565,0.13625435008913675,4.139577860000003
1,1000,0.1,LeakyRelu,3.1594181805579447,0.14426414765966689,3.9153899009999975
1,1000,0.5,LeakyRelu,3.2488543099395017,0.1384092130068331,4.1736190830000055
1,2000,0.01,LeakyRelu,3.2107781786823844,0.11917337381793253,6.415555662999992
1,2000,0.05,LeakyRelu,3.0671915967783066,0.16749621440757284,6.3466909409999905
1,2000,0.1,LeakyRelu,3.0991572311591176,0.1354066618740672,6.319894512999981
1,2000,0.5,LeakyRelu,3.253541623265039,0.15215063777980262,7.097208133999999
1,5000,0.01,LeakyRelu,3.0849914674413603,0.14240168818490048,9.75960145800002
1,5000,0.05,LeakyRelu,3.040678486124627,0.15619682622922534,10.324484033999994
1,5000,0.1,LeakyRelu,3.076580231249628,0.12728680145953836,8.991833907
1,5000,0.5,LeakyRelu,3.2961069843376145,0.1365825011760312,9.093940074000015
1,8000,0.01,LeakyRelu,3.050389349753517,0.13712400377121695,10.198511905000004
1,8000,0.05,LeakyRelu,3.0197341561838225,0.15537069485758356,10.162158786000019
1,8000,0.1,LeakyRelu,3.0732864162186333,0.13599221943488576,9.889176847000016
1,8000,0.5,LeakyRelu,3.3879327972570565,0.0961970237358523,10.910558232999987
1,500,1e-06,Sigmoid,3.358005162132887,0.11960065749106438,2.7884291820000158
1,500,5e-06,Sigmoid,3.3158796616293267,0.13389899787668091,2.54503597300004
1,500,1e-05,Sigmoid,3.321402127218005,0.12533908656532672,2.436365620999993
1,500,5e-05,Sigmoid,3.3035612496563944,0.13342064128059344,2.6140354959999854
1,1000,1e-06,Sigmoid,3.3613255969360076,0.1134198443385015,4.626222823999967
1,1000,5e-06,Sigmoid,3.3258385098638357,0.12726933235877086,4.653583706000006
1,1000,1e-05,Sigmoid,3.3097806828024345,0.13473544016812264,4.646327827999983
1,1000,5e-05,Sigmoid,3.3499162256121635,0.1396110411033089,4.777180388000033
1,2000,1e-06,Sigmoid,3.3353958005838797,0.13629034670037676,6.557399130000022
1,2000,5e-06,Sigmoid,3.311259764618935,0.13277267501552475,6.366117404000022
1,2000,1e-05,Sigmoid,3.3405328843220454,0.14046320304737014,6.697787005000009
1,2000,5e-05,Sigmoid,3.434971919577279,0.14050768589913956,6.072837784000001
1,4000,1e-06,Sigmoid,3.3150519293122342,0.1326180379927657,8.06591259999999
1,4000,5e-06,Sigmoid,3.3628354623995707,0.13279621175687586,7.4641392749999795
1,4000,1e-05,Sigmoid,3.4124537554543233,0.13422676301061445,7.283169471000008
1,4000,5e-05,Sigmoid,3.566637702691304,0.13623939078963485,7.723336174999986
