C,epsilon,degree,coeff,MEE_mean,MEE_std,seconds
5.0,0.01,4,0.5,3.155846332206419,0.1454106191508033,1.1194474697113037
5.0,0.01,4,1.5,3.227796948335898,0.14887861258610302,3.604490041732788
5.0,0.01,5,0.5,3.3301490383437304,0.17072986773988558,1.7472355365753174
5.0,0.01,5,1.5,3.5439695602152925,0.17518920183631376,12.088538408279419
0.1,1.0,3,0.5,4.340060514091578,0.13062053068918958,0.963545560836792
0.1,1.0,3,1.0,3.723670608146766,0.08315923638406318,0.3766496181488037
0.1,1.0,3,1.5,3.584437985774664,0.08958985772073585,0.38329267501831055
0.1,1.0,4,0.5,4.656652011086588,0.1469518745718998,0.396237850189209
0.1,1.0,4,1.0,3.4771143180425925,0.07312473615697365,0.40276360511779785
0.1,1.0,4,1.5,3.285253837195176,0.09315458109894145,0.413313627243042
0.1,1.0,5,0.5,4.708551129527158,0.13782552956969418,0.40470147132873535
0.1,1.0,5,1.0,3.287109911903792,0.07684264179608136,0.4050114154815674
0.1,1.0,5,1.5,3.0962408951979477,0.13338264729284566,0.4587361812591553
0.5,1.0,3,0.5,3.5571870903588425,0.06715252653663738,0.4019029140472412
0.5,1.0,3,1.0,3.363928590187264,0.09858545556573212,0.41369152069091797
0.5,1.0,3,1.5,3.335825406801612,0.1163447785116985,0.44339585304260254
0.5,1.0,4,0.5,3.5244922600241493,0.06186667658021434,0.42081332206726074
0.5,1.0,4,1.0,3.139244077586608,0.12113598971928016,0.4280893802642822
0.5,1.0,4,1.5,3.118631417196371,0.1373918001635333,0.5188705921173096
0.5,1.0,5,0.5,3.5003963671042415,0.044931232930307416,0.43439817428588867
0.5,1.0,5,1.0,3.068992826155735,0.13733208133473804,0.5677621364593506
0.5,1.0,5,1.5,3.072654283290321,0.1470214719614229,0.8456969261169434
1.0,1.0,3,0.5,3.3978711413191762,0.06761050486281608,0.44139790534973145
1.0,1.0,3,1.0,3.2921163198188146,0.10860646491058071,0.44266223907470703
1.0,1.0,3,1.5,3.289368894598378,0.11941060719298804,0.45451831817626953
1.0,1.0,4,0.5,3.2630157297142146,0.08977708291385063,0.42633891105651855
1.0,1.0,4,1.0,3.08710972010029,0.14107464038475728,0.5191328525543213
1.0,1.0,4,1.5,3.0947944244729575,0.14316336720004394,0.677191972732544
1.0,1.0,5,0.5,3.2931578403867823,0.09888446398865466,0.4769015312194824
1.0,1.0,5,1.0,3.0829129373398763,0.1420930642435172,0.7622244358062744
1.0,1.0,5,1.5,3.1309528029578755,0.13758639502897335,1.4809153079986572
5.0,1.0,3,0.5,3.296225481534608,0.12252290458701931,0.5724177360534668
5.0,1.0,3,1.0,3.2841330500382533,0.13077168110201728,0.7351269721984863
5.0,1.0,3,1.5,3.2877627222964207,0.13234656391939095,0.9156789779663086
5.0,1.0,4,0.5,3.113680148397198,0.1326183435246382,0.7710292339324951
5.0,1.0,4,1.0,3.121790182799343,0.1433158951362748,1.2804577350616455
5.0,1.0,4,1.5,3.156214356954462,0.13838676878118902,2.2711360454559326
5.0,1.0,5,0.5,3.22213068731662,0.13889023673216302,1.0316553115844727
5.0,1.0,5,1.0,3.2692531207879747,0.1524895988843368,2.8891515731811523
5.0,1.0,5,1.5,3.394459404535234,0.15030486679510607,6.721725225448608
